,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.9258,18.4232,57.11,93,90,1.01,ZA,1631425718
1,Dryden,49.7833,-92.7503,50.29,81,90,6.91,CA,1631426007
2,Torbay,47.6666,-52.7314,57.27,84,1,24.16,CA,1631426008
3,Rome,43.2128,-75.4557,70.84,78,40,1.01,US,1631426010
4,Busselton,-33.65,115.3333,61.05,56,12,6.22,AU,1631426011
5,Bredasdorp,-34.5322,20.0403,47.52,93,97,3.44,ZA,1631426013
6,Castro,-24.7911,-50.0119,56.53,91,35,2.08,BR,1631426015
7,Arraial do Cabo,-22.9661,-42.0278,71.06,90,90,4.03,BR,1631426016
8,Bayanday,53.0661,105.5139,59.0,39,1,3.89,RU,1631426017
9,Punta Arenas,-53.15,-70.9167,33.91,75,0,5.75,CL,1631426019
10,Port Alfred,-33.5906,26.891,65.53,80,16,7.11,ZA,1631426021
11,Rikitea,-23.1203,-134.9692,74.07,77,93,8.5,PF,1631426022
12,Bathsheba,13.2167,-59.5167,81.05,90,20,5.75,BB,1631426025
13,Thompson,55.7435,-97.8558,46.56,76,75,8.05,CA,1631426026
14,São José de Ribamar,-2.5619,-44.0542,80.98,85,72,13.6,BR,1631426028
15,Ushuaia,-54.8,-68.3,44.26,36,40,16.11,AR,1631426030
16,Brisbane,-27.4679,153.0281,80.49,60,20,8.99,AU,1631425833
17,Mbalmayo,3.5167,11.5,68.32,98,100,2.33,CM,1631426032
18,Vaini,-21.2,-175.2,71.76,94,75,11.5,TO,1631426034
19,Vestmannaeyjar,63.4427,-20.2734,50.68,78,100,7.99,IS,1631426035
20,Albany,42.6001,-73.9662,64.72,85,6,5.37,US,1631426038
21,Atuona,-9.8,-139.0333,78.1,73,6,20.49,PF,1631426040
22,Taoudenni,22.6783,-3.9836,91.08,17,7,6.76,ML,1631426042
23,Mar del Plata,-38.0023,-57.5575,55.42,94,90,12.66,AR,1631426044
24,Havre-St-Pierre,50.2334,-63.5986,43.16,93,75,2.3,CA,1631426045
25,Saldanha,-33.0117,17.9442,55.45,90,100,8.08,ZA,1631426047
26,Mataura,-46.1927,168.8643,49.48,98,98,4.12,NZ,1631426048
27,Kambove,-10.8764,26.5969,64.87,45,2,10.33,CD,1631426050
28,Bud,39.447,-86.1758,73.9,76,46,12.48,US,1631426052
29,Norden,53.6,7.2,62.58,96,100,13.33,DE,1631426053
30,Fort Nelson,58.8053,-122.7002,45.99,87,40,3.44,CA,1631426055
31,Brits,-25.6347,27.7802,64.0,28,0,0.87,ZA,1631426056
32,Bundaberg,-24.85,152.35,77.29,52,40,8.99,AU,1631426057
33,Qui Nhon,13.7667,109.2333,86.5,66,90,17.09,VN,1631426059
34,Cooma,-36.2333,149.1333,51.57,57,40,17.27,AU,1631426061
35,Chifeng,42.2683,118.9636,62.17,86,100,7.49,CN,1631426062
36,Ribeira Grande,38.5167,-28.7,70.12,74,100,21.72,PT,1631426064
37,Hermanus,-34.4187,19.2345,55.9,82,100,6.17,ZA,1631426065
38,Coffs Harbour,-30.3,153.1333,87.13,50,1,21.85,AU,1631426067
39,Hobart,-42.8794,147.3294,54.05,57,40,4.0,AU,1631425969
40,Bagotville,-28.9833,153.4167,84.22,35,3,13.82,AU,1631426069
41,Béboto,8.2668,16.939,72.18,95,98,3.11,TD,1631426071
42,Kapaa,22.0752,-159.319,77.11,59,49,1.01,US,1631426020
43,Hrádek,49.7132,13.653,60.53,91,28,2.75,CZ,1631426073
44,Harper,4.375,-7.7169,76.48,89,100,4.52,LR,1631426075
45,Laurel,39.0993,-76.8483,69.49,86,1,1.01,US,1631426076
46,Upernavik,72.7868,-56.1549,30.58,65,0,19.89,GL,1631426078
47,Tessalit,20.1986,1.0114,89.11,19,31,6.58,ML,1631426079
48,Angoche,-16.2325,39.9086,77.72,70,66,11.14,MZ,1631426081
49,Risør,58.7206,9.2342,60.17,89,84,10.0,NO,1631426082
50,Salalah,17.0151,54.0924,81.09,83,94,8.75,OM,1631426084
51,Nikolskoye,59.7035,30.7861,57.02,92,99,3.62,RU,1631426086
52,Jamestown,42.097,-79.2353,69.51,74,90,8.01,US,1631426089
53,Tuktoyaktuk,69.4541,-133.0374,48.2,93,90,4.61,CA,1631426090
54,Bam,29.106,58.357,88.38,12,2,14.25,IR,1631426092
55,Prescott,34.54,-112.4685,76.17,47,2,1.01,US,1631426093
56,Bethel,41.3712,-73.414,69.66,83,3,4.83,US,1631426095
57,Ust'-Ilimsk,58.0006,102.6619,62.19,36,25,7.7,RU,1631426096
58,Yārāda,17.65,83.2667,82.72,94,90,6.91,IN,1631426098
59,Alofi,-19.0595,-169.9187,76.89,88,99,3.44,NU,1631426099
60,Hilo,19.7297,-155.09,78.53,82,90,4.61,US,1631425895
61,Leningradskiy,69.3833,178.4167,28.24,93,100,22.01,RU,1631426106
62,Patacamaya,-17.2333,-67.9167,43.3,82,41,6.78,BO,1631426108
63,Hastings,50.8552,0.5729,55.33,93,66,6.06,GB,1631426109
64,Kavieng,-2.5744,150.7967,84.88,67,51,7.2,PG,1631426111
65,Ilulissat,69.2167,-51.1,13.6,70,14,2.48,GL,1631426112
66,Port Elizabeth,-33.918,25.5701,61.09,88,90,9.22,ZA,1631426113
67,Fortuna,40.5982,-124.1573,57.42,73,1,0.0,US,1631426115
68,Kassala,15.451,36.4,83.26,65,39,12.62,SD,1631426116
69,Codrington,-38.2667,141.9667,48.96,82,87,6.08,AU,1631426118
70,Clyde River,70.4692,-68.5914,31.44,88,99,35.3,CA,1631426119
71,Hanna,51.6334,-111.9018,49.51,93,35,5.01,CA,1631426121
72,Hithadhoo,-0.6,73.0833,83.01,68,28,5.37,MV,1631426122
73,Qaanaaq,77.484,-69.3632,17.83,58,29,8.88,GL,1631426124
74,Kurdzhinovo,43.9884,40.9552,64.6,76,1,1.52,RU,1631426126
75,Bluff,-46.6,168.3333,49.8,87,100,28.23,NZ,1631426128
76,San Patricio,28.017,-97.5169,84.06,73,9,9.55,US,1631426129
77,Anadyr,64.75,177.4833,36.1,75,40,20.13,RU,1631426131
78,Sault Ste. Marie,46.5168,-84.3333,62.89,69,1,6.91,CA,1631426042
79,San Quintín,30.4833,-115.95,73.22,82,0,9.8,MX,1631426133
80,Muli,2.9167,73.5667,82.94,70,83,7.61,MV,1631426135
81,Kidal,18.4411,1.4078,90.03,21,56,5.77,ML,1631426136
82,Rongcheng,30.634,117.8517,83.8,72,79,12.19,CN,1631426138
83,Vila Franca do Campo,37.7167,-25.4333,68.41,81,84,16.8,PT,1631426139
84,Khanpur,28.6453,70.6567,96.75,39,0,17.98,PK,1631426141
85,Tiksi,71.6872,128.8694,55.17,54,80,17.4,RU,1631426142
86,Yuzhnyy,53.2542,83.6936,53.98,76,75,8.95,RU,1631426143
87,Khatanga,71.9667,102.5,53.76,44,10,5.75,RU,1631426146
88,Tasiilaq,65.6145,-37.6368,32.11,72,100,38.92,GL,1631426148
89,Kangaba,11.9333,-8.4167,71.47,96,100,3.13,ML,1631426149
90,Qabaqçöl,41.72,46.2647,69.84,52,69,3.33,AZ,1631426150
91,Coquimbo,-29.9533,-71.3436,55.13,82,40,3.44,CL,1631426152
92,Airai,-8.9266,125.4092,75.42,50,38,3.02,TL,1631426153
93,Barrow,71.2906,-156.7887,36.34,95,48,3.85,US,1631426102
94,College,64.8569,-147.8028,49.28,67,1,0.0,US,1631426155
95,Syamzha,60.0158,41.0614,50.65,76,46,3.94,RU,1631426157
96,Souillac,-20.5167,57.5167,75.36,78,40,18.41,MU,1631426159
97,Vanimo,-2.6741,141.3028,84.52,73,79,9.86,PG,1631426160
98,Leh,34.1667,77.5833,56.25,63,92,5.57,IN,1631426091
99,Øksfjord,70.2396,22.3479,41.92,72,100,4.85,NO,1631426163
100,Lüderitz,-26.6481,15.1594,57.43,71,27,13.29,NA,1631426165
101,Ponta do Sol,32.6667,-17.1,74.71,84,85,9.13,PT,1631426167
102,Mil'kovo,54.7167,158.6167,53.62,38,28,3.83,RU,1631426169
103,Ucluelet,48.9329,-125.5528,61.09,97,100,4.88,CA,1631426173
104,Vanino,49.0869,140.2543,51.89,92,100,15.97,RU,1631426174
105,Bilibino,68.0546,166.4372,28.81,82,66,1.63,RU,1631426176
106,Carnarvon,-24.8667,113.6333,71.67,53,0,23.02,AU,1631426177
107,Bambous Virieux,-20.3428,57.7575,75.22,78,40,18.41,MU,1631426179
108,Arlit,18.7369,7.3853,91.0,22,19,5.17,NE,1631426180
109,Nabire,-3.3667,135.4833,84.02,71,89,4.88,ID,1631426181
110,Vila Velha,-20.3297,-40.2925,73.35,94,75,2.3,BR,1631425974
111,Cherskiy,68.75,161.3,36.1,54,100,3.62,RU,1631426184
112,Isangel,-19.55,169.2667,78.91,65,75,9.22,VU,1631426186
113,Lukovetskiy,64.2956,41.9211,40.98,73,48,3.0,RU,1631426187
114,Saint-Philippe,-21.3585,55.7679,79.21,81,41,17.47,RE,1631426190
115,Kanigiri,15.4,79.5167,88.3,54,99,17.63,IN,1631426191
116,Ushtobe,45.2514,77.9838,79.32,12,40,14.94,KZ,1631426193
117,East London,-33.0153,27.9116,63.54,88,75,6.91,ZA,1631426194
118,Taltal,-25.4,-70.4833,54.32,86,44,2.15,CL,1631426196
119,Balad,34.0164,44.1453,91.02,25,0,15.28,IQ,1631426197
120,Manika,11.388,122.2793,84.76,77,100,1.14,PH,1631426199
121,Avera,33.194,-82.5271,67.51,67,0,5.66,US,1631426200
122,Abu Kamal,34.4506,40.9171,80.87,46,0,12.71,SY,1631426202
123,New Norfolk,-42.7826,147.0587,53.71,59,88,3.0,AU,1631426203
124,Saint Paul Harbor,57.79,-152.4072,48.52,86,84,4.59,US,1631426205
125,Krasnyy Chikoy,50.3643,108.7512,61.38,40,2,6.82,RU,1631426206
126,Puerto Ayora,-0.7393,-90.3518,67.55,95,77,3.0,EC,1631426208
127,Ixtapa,20.7,-105.2,80.22,94,54,3.18,MX,1631426209
128,Dorogobuzh,54.915,33.2972,62.31,69,95,6.29,RU,1631426211
